        531.00;     122914.40;24.722.819;57.868.553;20.000.000
        532.00;     119418.40;48.328.689;57.880.053;20.003.300
        533.00;     116022.40;34.249.801;57.891.715;20.003.300
        534.00;     112654.40;26.065.217;57.903.240;20.000.000
        535.00;     107938.40;33.810.189;57.915.024;20.000.000
        536.00;     103750.40;39.224.482;57.927.492;20.000.000
        537.00;99.426.400;23.072.832;57.938.635;20.000.000
        538.00;96.338.400;28.844.718;57.950.599;20.000.000
        539.00;92.302.400;26.251.434;57.962.141;20.000.000
        540.00;88.350.400;25.327.719;57.973.719;20.000.000
        541.00;84.742.400;21.125.656;57.985.355;20.000.000
        542.00;80.666.400;29.158.570;57.996.845;20.000.000
        543.00;76.906.400;28.672.868;58.008.428;20.000.000
        544.00;73.574.400;24.721.021;58.019.879;20.000.000
        545.00;70.230.400;25.620.825;58.031.491;20.000.000
        546.00;67.170.400;23.765.147;58.043.122;20.000.000
        547.00;64.426.400;33.994.771;58.054.530;20.000.000
        548.00;61.074.400;30.742.226;58.065.050;20.000.000
        549.00;58.758.400;20.446.570;58.076.794;20.000.000
        550.00;55.506.400;25.572.555;58.088.328;20.000.000
        551.00;53.718.400;24.928.698;58.099.870;20.000.000
        552.00;51.270.400;28.052.015;58.111.434;20.000.000
        553.00;49.174.400;20.679.996;58.122.746;20.000.000
        554.00;47.058.400;37.585.103;58.134.648;20.000.000
        555.00;44.894.400;18.797.636;58.146.243;20.003.300
        556.00;43.102.400;21.983.428;58.157.687;20.003.300
        557.00;41.566.400;16.340.815;58.169.273;20.003.300
        558.00;39.946.400;20.152.750;58.180.784;20.000.000
        559.00;38.490.400;23.342.474;58.192.402;20.000.000
        560.00;37.066.400;20.284.641;58.203.585;20.000.000
        561.00;35.486.400;12.564.500;58.215.547;20.000.000
        562.00;34.226.400;21.443.466;58.227.093;20.000.000
        563.00;32.574.400;11.742.421;58.238.658;20.000.000
        564.00;31.846.400;24.779.920;58.250.162;20.000.000
        565.00;30.942.400;18.048.823;58.261.390;20.000.000
        566.00;29.394.400;12.733.857;58.273.381;20.000.000
        567.00;28.470.400;19.406.299;58.284.513;20.000.000
        568.00;27.230.400;21.942.956;58.296.526;20.000.000
        569.00;26.402.400;15.803.797;58.307.946;20.000.000
        570.00;25.046.400;13.779.211;58.319.395;20.000.000
        571.00;24.234.400;19.340.688;58.330.945;20.000.000
        572.00;23.266.400;13.846.781;58.342.631;20.000.000
        573.00;22.646.400;15.537.768;58.354.138;20.000.000
        574.00;21.618.400;14.323.873;58.365.529;20.000.000
        575.00;21.090.400;10.904.841;58.377.233;20.000.000
        576.00;20.082.400;99.500.977;58.388.753;20.000.000
        577.00;19.046.400;15.480.454;58.400.422;20.000.000
        578.00;18.154.400;18.446.800;58.411.757;20.003.300
        579.00;17.830.400;17.437.635;58.423.437;20.000.000
        580.00;17.058.400;17.988.144;58.435.088;20.000.000
        581.00;16.074.400;11.011.913;58.446.518;20.000.000
        582.00;15.422.400;11.457.361;58.458.149;20.000.000
        583.00;14.894.400;19.079.250;58.469.701;20.000.000
        584.00;14.354.400;10.014.212;58.481.258;20.000.000
        585.00;13.674.400;12.220.929;58.492.763;20.000.000
        586.00;13.058.400;12.733.857;58.504.394;20.000.000
        587.00;12.430.400;13.468.647;58.515.849;20.003.300
        588.00;12.338.400;12.249.989;58.527.382;20.000.000
        589.00;11.578.400;59.643.385;58.539.049;20.000.000
        590.00;11.010.400;86.296.646;58.550.584;20.000.000
        591.00;10.538.400;11.926.441;58.562.181;20.000.000
        592.00;10.154.400;82.849.261;58.573.679;20.000.000
        593.00;97.664.000;10.464.756;58.585.297;20.000.000
        594.00;93.464.000;90.283.504;58.596.857;20.000.000
        595.00;89.624.000;86.090.392;58.608.475;20.000.000
        596.00;85.784.000;70.817.449;58.619.606;20.000.000
        597.00;82.824.000;78.076.885;58.631.572;20.000.000
        598.00;78.104.000;78.530.956;58.643.149;20.000.000
        599.00;76.104.000;62.096.699;58.654.582;20.000.000
        600.00;72.104.000;70.917.793;58.666.288;20.000.000
        601.00;67.064.000;10.998.990;58.677.794;20.000.000
        602.00;66.424.000;59.164.554;58.689.266;20.000.000
        603.00;64.184.000;82.634.402;58.700.770;20.000.000
        604.00;59.704.000;70.161.718;58.712.479;20.003.300
        605.00;57.984.000;71.005.477;58.724.011;20.000.000
        606.00;55.184.000;10.845.173;58.735.472;20.000.000
        607.00;53.184.000;74.666.667;58.747.190;20.000.000
        608.00;51.864.000;69.089.314;58.758.621;20.000.000
        609.00;48.984.000;59.643.385;58.770.106;20.000.000
        610.00;47.224.000;88.131.215;58.781.693;20.000.000
        611.00;44.384.000;88.603.988;58.793.315;20.000.000
        612.00;44.504.000;11.932.402;58.804.868;20.000.000
        613.00;41.624.000;54.796.594;58.816.399;20.000.000
        614.00;38.664.000;84.590.517;58.828.119;20.000.000
        615.00;39.184.000;35.175.749;58.839.706;20.000.000
        616.00;36.944.000;66.613.312;58.851.186;20.000.000
        617.00;36.344.000;74.248.831;58.862.809;20.000.000
        618.00;33.624.000;65.983.163;58.874.337;20.000.000
        619.00;33.864.000;53.416.602;58.885.994;20.000.000
        620.00;32.424.000;55.761.396;58.897.358;20.000.000
        621.00;31.104.000;56.000.000;58.907.902;20.000.000
        622.00;29.864.000;61.173.705;58.919.399;20.000.000
        623.00;27.424.000;65.374.137;58.931.040;20.000.000
        624.00;28.144.000;59.269.629;58.942.548;20.000.000
        625.00;26.064.000;73.514.927;58.954.115;20.003.300
        626.00;24.384.000;73.708.133;58.965.668;20.003.300
        627.00;23.704.000;50.754.310;58.977.336;20.003.300
        628.00;23.184.000;47.628.190;58.988.902;20.003.300
        629.00;23.544.000;70.060.291;59.000.474;19.990.000
        630.00;22.344.000;42.184.779;59.011.961;19.990.000
        631.00;21.424.000;53.065.997;59.023.586;19.990.000
