        567.00;48.480.000;31.439.536;30.712.957;20.003.300
        568.00;46.480.000;41.333.333;30.724.061;20.000.000
        569.00;43.280.000;28.126.697;30.736.079;20.000.000
        570.00;39.280.000;26.161.889;30.747.521;20.000.000
        571.00;42.880.000;36.368.485;30.759.269;20.000.000
        572.00;40.080.000;20.698.900;30.771.602;20.000.000
        573.00;35.280.000;26.161.889;30.783.266;20.000.000
        574.00;36.480.000;32.550.815;30.794.938;20.000.000
        575.00;35.680.000;32.221.456;30.806.416;20.000.000
        576.00;33.280.000;33.199.732;30.817.952;20.000.000
        577.00;37.680.000;30.666.667;30.829.579;20.000.000
        578.00;29.680.000;24.184.476;30.841.089;20.000.000
        579.00;32.080.000;23.888.630;30.852.582;20.000.000
        580.00;28.880.000;33.967.305;30.864.123;20.000.000
        581.00;28.080.000;23.132.469;30.875.647;20.000.000
        582.00;30.080.000;22.939.534;30.887.291;20.000.000
        583.00;33.680.000;21.868.293;30.898.865;20.000.000
        584.00;26.080.000;80.000.000;30.910.423;20.000.000
        585.00;26.080.000;30.287.511;30.922.053;20.000.000
        586.00;30.080.000;27.840.817;30.933.614;20.000.000
        587.00;31.280.000;28.126.697;30.945.222;20.000.000
        588.00;22.880.000;35.876.331;30.956.633;20.000.000
        589.00;32.080.000;22.350.739;30.968.182;20.000.000
        590.00;23.680.000;33.836.207;30.979.782;20.000.000
        591.00;23.280.000;42.268.980;30.991.219;20.000.000
        592.00;22.080.000;26.532.998;31.002.791;20.000.000
        593.00;24.480.000;38.551.553;31.013.919;20.000.000
        594.00;24.080.000;23.888.630;31.025.874;20.000.000
        595.00;27.280.000;39.665.266;31.036.994;20.000.000
        596.00;24.480.000;18.666.667;31.049.172;20.000.000
        597.00;23.680.000;29.333.333;31.061.637;20.000.000
        598.00;20.080.000;32.687.068;31.073.083;20.000.000
        599.00;23.280.000;22.509.257;31.084.747;20.000.000
        600.00;25.680.000;22.666.667;31.096.117;20.003.300
        601.00;27.280.000;27.487.371;31.107.855;20.003.300
        602.00;16.480.000;28.472.209;31.119.401;20.003.300
        603.00;26.080.000;34.666.667;31.131.111;20.003.300
        604.00;17.680.000;23.437.861;31.143.488;20.000.000
        605.00;22.480.000;29.242.283;31.155.145;20.000.000
        606.00;22.080.000;36.172.427;31.166.732;20.000.000
        607.00;16.080.000;20.698.900;31.178.269;20.000.000
        608.00;20.080.000;25.333.333;31.189.769;20.000.000
        609.00;17.680.000;23.437.861;31.201.297;20.000.000
        610.00;17.680.000;26.964.998;31.212.919;20.000.000
        611.00;13.280.000;23.094.011;31.224.361;20.000.000
        612.00;16.080.000;26.025.628;31.235.996;20.000.000
        613.00;18.880.000;14.847.372;31.247.536;20.000.000
        614.00;16.080.000;21.540.659;31.259.193;20.000.000
        615.00;16.080.000;25.333.333;31.270.763;20.000.000
        616.00;15.280.000;33.862.467;31.282.282;20.000.000
        617.00;18.080.000;32.000.000;31.293.792;20.000.000
        618.00;16.080.000;37.735.925;31.305.472;20.000.000
        619.00;14.080.000;36.172.427;31.317.061;20.000.000
        620.00;13.280.000;27.968.236;31.328.480;20.000.000
        621.00;21.280.000;28.596.814;31.339.779;20.000.000
        622.00;10.080.000;18.666.667;31.351.592;20.000.000
        623.00;16.880.000;21.039.645;31.363.258;20.000.000
        624.00;12.880.000;28.252.827;31.374.793;20.000.000
        625.00;12.480.000;22.939.534;31.386.417;20.000.000
        626.00;18.880.000;22.469.733;31.397.850;20.000.000
