        562.00;40.647.200;17.960.450;49.046.907;20.000.000;;;
        563.00;39.539.200;20.472.638;49.058.572;20.000.000;;;
        564.00;38.111.200;17.235.106;49.069.691;20.000.000;;;
        565.00;36.855.200;25.396.763;49.081.581;20.000.000;;;
        566.00;35.811.200;14.849.766;49.093.112;20.000.000;;;
        567.00;34.467.200;16.791.532;49.104.695;20.000.000;;;
        568.00;33.207.200;13.574.486;49.115.942;20.000.000;;;
        569.00;31.851.200;17.045.821;49.128.036;20.000.000;;;
        570.00;30.935.200;18.619.464;49.140.532;20.000.000;;;
        571.00;29.727.200;19.241.160;49.152.056;20.000.000;;;
        572.00;28.491.200;12.694.006;49.163.559;20.000.000;;;
        573.00;27.683.200;16.288.510;49.175.165;20.000.000;;;
        574.00;26.655.200;19.614.507;49.186.701;20.000.000;;;
        575.00;25.651.200;14.176.036;49.198.326;20.000.000;;;
        576.00;24.415.200;19.659.773;49.209.870;20.000.000;;;
        577.00;23.791.200;13.511.477;49.221.422;20.000.000;;;
        578.00;22.627.200;16.143.798;49.232.881;20.000.000;;;
        579.00;21.971.200;74.999.259;49.244.646;20.000.000;;;
        580.00;20.911.200;16.464.912;49.256.230;20.000.000;;;
        581.00;20.083.200;15.051.910;49.267.705;20.000.000;;;
        582.00;19.191.200;15.416.586;49.279.125;20.000.000;;;
        583.00;18.875.200;90.784.237;49.290.806;20.000.000;;;
        584.00;17.743.200;11.872.658;49.302.350;20.000.000;;;
        585.00;17.063.200;11.289.326;49.313.940;20.000.000;;;
        586.00;16.559.200;13.702.230;49.325.595;20.003.300;;;
        587.00;15.903.200;12.960.796;49.336.700;20.003.300;;;
        588.00;15.031.200;14.141.507;49.348.675;20.003.300;;;
        589.00;14.847.200;11.824.645;49.360.192;20.000.000;;;
        590.00;13.879.200;10.865.644;49.371.888;20.000.000;;;
        591.00;13.343.200;15.927.056;49.383.378;20.000.000;;;
        592.00;12.955.200;84.706.028;49.394.822;20.000.000;;;
        593.00;12.539.200;13.020.326;49.406.401;20.000.000;;;
        594.00;11.867.200;66.666.667;49.418.061;19.990.000;;;
        595.00;11.463.200;99.679.486;49.429.685;19.990.000;;;
        596.00;11.023.200;11.336.470;49.441.164;19.990.000;;;
        597.00;10.639.200;13.453.459;49.452.775;20.000.000;;;
        598.00;10.003.200;88.684.209;49.464.279;20.000.000;;;
        599.00;95.592.000;15.709.021;49.475.426;20.000.000;;;
        600.00;91.152.000;61.910.329;49.487.437;20.000.000;;;
        601.00;88.632.000;11.857.674;49.499.065;20.000.000;;;
        602.00;86.512.000;95.069.565;49.510.527;20.003.300;;;
        603.00;83.272.000;88.894.444;49.522.166;20.000.000;;;
        604.00;79.352.000;71.317.755;49.533.660;20.000.000;;;
        605.00;77.872.000;11.469.767;49.545.311;20.000.000;;;
        606.00;73.632.000;68.039.204;49.556.741;20.000.000;;;
        607.00;69.592.000;75.671.806;49.568.274;20.000.000;;;
        608.00;69.632.000;55.681.635;49.579.982;20.000.000;;;
        609.00;67.072.000;74.236.858;49.591.196;20.000.000;;;
        610.00;62.792.000;83.703.179;49.602.673;20.000.000;;;
        611.00;60.232.000;69.397.406;49.614.595;20.000.000;;;
        612.00;58.072.000;90.480.200;49.626.228;20.000.000;;;
        613.00;56.352.000;88.201.789;49.637.571;20.000.000;;;
        614.00;55.112.000;73.381.802;49.649.471;20.003.300;;;
        615.00;52.032.000;11.126.745;49.661.864;20.003.300;;;
        616.00;51.112.000;10.573.762;49.673.502;20.003.300;;;
