Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature;;;;;;;;;;;;
        508.74;     Reference;1;10.893.604;   0.042769278;     158283.20;     145299.20;  0.0031018205;  0.0014453109;36.536.816;24.222.825;68.545.796;24.556.600
        508.74;         Blank;1;12.879.382;    0.12585050;     247507.20;     192173.20;  0.0028861695;  0.0011318783;38.331.518;31.125.248;69.222.760;24.556.600
        529.36;        Sample;1;13.882.366;    0.16256204;     254493.20;     183321.20;  0.0028688128;  0.0010356515;34.354.529;28.683.793;69.941.712;24.550.000
        529.36;     Reference;1;10.746.189;   0.035967528;     157321.20;     146397.20;  0.0032092151;  0.0015064250;36.563.168;27.454.652;70.619.237;24.563.300
        529.36;         Blank;1;12.950.453;    0.12855752;     250129.20;     193143.20;  0.0030125486;  0.0011341094;34.029.677;36.443.930;71.305.440;24.563.300
        550.16;        Sample;1;13.758.493;    0.15819578;     252789.20;     183733.20;  0.0031169470;  0.0011766888;42.232.913;28.112.968;72.025.887;24.563.300
        550.16;     Reference;1;10.777.936;   0.037440481;     156916.40;     145590.40;  0.0030299977;  0.0014078325;31.256.460;28.882.922;72.708.648;24.563.300
        550.16;         Blank;1;13.135.529;    0.13552875;     252930.40;     192554.40;  0.0034284829;  0.0013855845;53.767.452;29.161.619;73.686.928;24.570.000
        574.01;        Sample;1;13.603.759;    0.15267732;     249640.40;     183508.40;  0.0035471656;  0.0012844083;39.989.762;37.755.195;74.404.888;24.570.000
        574.01;     Reference;1;10.789.929;   0.037995730;     157820.40;     146266.40;  0.0032740547;  0.0015293079;36.673.553;28.540.793;75.083.099;24.573.300
        574.01;         Blank;1;12.975.366;    0.12950244;     248782.40;     191734.40;  0.0036857219;  0.0014378481;49.115.632;39.158.517;75.771.869;24.586.600
        594.81;        Sample;1;13.823.515;    0.16049331;     253916.40;     183684.40;  0.0035290041;  0.0012508006;38.912.020;37.504.105;76.480.923;24.573.300
        594.81;     Reference;1;10.884.656;   0.042359130;     158030.40;     145186.40;  0.0034520149;  0.0015949359;37.083.576;30.974.489;77.167.399;24.580.000
        594.81;         Blank;1;13.079.020;    0.13341209;     250602.40;     191606.40;  0.0034050790;  0.0012731174;38.808.681;40.099.455;77.849.467;24.580.000
        615.62;        Sample;1;13.706.963;    0.15636599;     251098.40;     183190.40;  0.0034895037;  0.0012612769;40.144.895;36.292.844;78.568.349;24.580.000
        615.62;     Reference;1;10.680.991;   0.032928374;     155966.40;     146022.40;  0.0024323074;  0.0011440149;26.475.172;22.166.072;79.243.030;24.580.000
        615.62;         Blank;1;13.045.594;    0.13215515;     250726.40;     192192.40;  0.0036875339;  0.0014706801;54.366.089;34.851.233;79.916.702;24.596.600
        636.30;        Sample;1;13.846.371;    0.16129797;     254646.40;     183908.40;  0.0032502127;  0.0012569080;47.903.060;25.820.881;80.628.938;24.580.000
        636.30;     Reference;1;10.888.837;   0.042550830;     157788.40;     144908.40;  0.0038094121;  0.0017248063;31.037.193;41.923.514;81.311.736;24.593.300
        636.30;         Blank;1;12.975.051;    0.12949049;     249064.40;     191956.40;  0.0033024544;  0.0012827762;43.284.980;35.695.171;81.998.978;24.590.000
        657.09;        Sample;1;13.749.500;    0.15787699;     251396.40;     182840.40;  0.0035824501;  0.0013289384;45.604.686;34.196.060;82.705.077;24.600.000
        657.09;     Reference;1;10.835.734;   0.040110617;     158568.40;     146338.40;  0.0026690607;  0.0012421706;29.930.833;23.158.766;83.379.744;24.600.000
        657.09;         Blank;1;12.925.411;    0.12760561;     247788.40;     191706.40;  0.0031366861;  0.0012283532;41.859.188;33.399.779;84.054.402;24.603.300
        677.67;        Sample;1;13.506.718;    0.14917939;     246414.40;     182438.40;  0.0035240905;  0.0012238612;30.810.798;41.778.766;84.776.164;24.590.000
        677.67;     Reference;1;10.836.845;   0.040161781;     157804.40;     145618.40;  0.0029760510;  0.0013988236;36.639.783;21.355.931;85.450.823;24.603.300
        677.67;         Blank;1;13.033.258;    0.13169035;     248878.40;     190956.40;  0.0026462883; 0.00096308818;25.167.063;33.621.390;86.142.421;24.606.600
        698.48;        Sample;1;13.905.025;    0.16335581;     254946.40;     183348.40;  0.0033550953;  0.0011079112;26.520.459;39.917.046;86.848.624;24.610.000
        698.48;     Reference;1;10.815.797;   0.039191259;     158326.40;     146384.40;  0.0035769463;  0.0016556010;36.877.721;34.367.518;87.530.672;24.610.000
        698.48;         Blank;1;13.048.009;    0.13224609;     249572.40;     191272.40;  0.0025589510; 0.00093129236;24.586.646;32.435.815;88.215.598;24.626.600
        719.30;        Sample;1;13.903.380;    0.16329824;     255066.40;     183456.40;  0.0037803614;  0.0014161047;51.253.015;33.605.106;88.929.142;24.610.000
        719.30;     Reference;1;10.807.003;   0.038785157;     158100.40;     146294.40;  0.0030574535;  0.0014375290;37.187.746;22.998.398;89.601.539;24.613.300
        719.30;         Blank;1;13.046.776;    0.13219965;     249658.40;     191356.40;  0.0028317895;  0.0010796069;34.916.924;31.761.579;90.273.940;24.613.300
        739.80;        Sample;1;13.711.741;    0.15653600;     249584.40;     182022.40;  0.0040296643;  0.0014303822;42.828.299;43.427.471;90.985.443;24.620.000
        739.80;     Reference;1;10.661.181;   0.032001136;     155536.40;     145890.40;  0.0030282560;  0.0014264304;32.834.225;27.725.724;91.663.011;24.620.000
        739.80;         Blank;1;13.070.290;    0.13308414;     250934.40;     191988.40;  0.0030277120;  0.0011915941;42.789.472;30.102.247;92.626.858;24.633.300
        763.34;        Sample;1;13.587.663;    0.15209912;     247744.40;     182330.40;  0.0036529344;  0.0013845049;48.147.383;33.869.719;93.337.457;24.633.300
