Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
397.55;1;2,3758897;0.40756359;18825.6;7923.6;0,023661985;0,004475485;85,839508;70,156217;4368,1316;21,3933
403.21;1;2,3191511;0.39743628;18663.6;8047.6;0,023182967;0,004962575;103,39398;66,962676;4373,7954;21,3933
408.88;1;2,3459988;0.40227115;18621.6;7937.6;0,022037055;0,004575669;93,489093;63,018794;4379,4588;21,3966
414.54;1;2,3211828;0.3978049;18619.6;8021.6;0,021372132;0,004409968;89,078322;63,105592;4385,1251;21,3966
420.21;1;2,3009898;0.39412112;18411.6;8001.6;0,024632931;0,005780021;125,79934;65,944155;4390,7947;21,39
425.9;1;2,3385669;0.40094057;18707.6;7999.6;0,02657344;0,005068699;95,959421;81,112008;4396,4776;21,39
431.56;1;2,346241;0.40231442;18637.6;7943.6;0,017851239;0,004308544;96,599008;44,245725;4402,1438;21,4033
437.24;1;2,2733962;0.38901377;18413.6;8099.6;0,023341011;0,005280131;111,94359;67,01296;4407,8176;21,4033
442.92;1;2,2892237;0.3919538;18413.6;8043.6;0,021494051;0,004568091;92,729374;63,741253;4413,4993;21,4033
448.59;1;2,3226149;0.39806446;18375.6;7911.6;0,025043544;0,004807538;89,389744;76,131465;4419,1748;21,4066
454.29;1;2,3113512;0.39601696;18309.6;7921.6;0,029167298;0,005480255;98,404108;90,444516;4424,8717;21,41
460.04;1;2,2477249;0.3841843;18277.6;8131.6;0,023514733;0,005357376;112,80538;68,688465;4430,6256;21,41
465.72;1;2,2892298;0.39195493;18381.6;8029.6;0,018759286;0,003929657;78,667856;56,112669;4436,2988;21,41
471.4;1;2,2715883;0.38867614;18203.6;8013.6;0,021724477;0,004627706;92,610105;64,895057;4441,9827;21,4133
477.18;1;2,3093003;0.39564264;18205.6;7883.6;0,025393572;0,006376929;142,14892;61,041832;4447,7561;21,4133
482.84;1;2,278605;0.38998446;18241.6;8005.6;0,025578044;0,005456137;109,75187;75,866919;4453,4241;21,4266
488.53;1;2,3017333;0.39425755;18219.6;7915.6;0,02326695;0,005495588;118,81077;61,138325;4459,1086;21,42
494.2;1;2,2807219;0.39037807;18299.6;8023.6;0,026898899;0,005579439;109,93874;81,433214;4464,783;21,42
499.98;1;2,2890976;0.39193049;18325.6;8005.6;0,021216414;0,004748101;99,704828;60,070134;4470,5633;21,42
505.76;1;2,2612929;0.38674628;18021.6;7969.6;0,023048416;0,005427036;115,38129;63,205596;4476,3366;21,4333
511.43;1;2,2746903;0.38925522;18287.6;8039.6;0,022512236;0,004265904;75,698849;72,272875;4482,0119;21,4366
517.1;1;2,2957868;0.39316464;18025.6;7851.6;0,024009768;0,005737593;123,45892;62,054306;4487,6827;21,4366
522.76;1;2,2531166;0.38520494;18073.6;8021.6;0,021727934;0,005104166;108,56383;60,51707;4493,3426;21,43
528.44;1;2,2808813;0.3904077;18095.6;7933.6;0,022399185;0,0056656;125,88633;54,990908;4499,0273;21,44
534.12;1;2,2813778;0.39049994;18067.6;7919.6;0,025819113;0,004814219;82,868317;81,938359;4504,7044;21,44
539.78;1;2,2683438;0.38806928;18177.6;8013.6;0,019144723;0,004261469;88,095642;55,372423;4510,3664;21,4433
545.45;1;2,3035068;0.39458276;18339.6;7961.6;0,020279975;0,00437207;89,690697;58,28424;4516,0334;21,4466
551.12;1;2,2283031;0.38047948;18126.8;8134.8;0,02089672;0,005033443;108,74499;58,635358;4521,7059;21,45
559.85;1;2,2890644;0.39192435;18428.8;8050.8;0,018624514;0,004673517;105,37552;46,600203;4530,4289;21,45
565.51;1;2,3377237;0.40078923;18600.8;7956.8;0,021000771;0,004894706;107,54681;54,706874;4536,0908;21,45
571.2;1;2,2822469;0.39066133;18542.8;8124.8;0,016855028;0,003593011;73,497583;50,629719;4541,7768;21,4533
576.96;1;2,2939297;0.3928225;18380.8;8012.8;0,018667504;0,004027735;82,691564;54,336185;4547,5426;21,4533
582.63;1;2,2721342;0.38877813;18528.8;8154.8;0,02604657;0,005546239;112,95458;79,168042;4553,2137;21,4666
588.32;1;2,3280272;0.39904338;18602.8;7990.8;0,02574924;0,004729294;84,57821;80,570335;4558,8985;21,46
594.07;1;2,2945297;0.39293309;18472.8;8050.8;0,021193083;0,004973381;108,54444;57,372284;4564,651;21,46
599.75;1;2,2995947;0.39386496;18384.8;7994.8;0,02394323;0,004941952;97,975292;71,511501;4570,3299;21,46
605.43;1;2,3202995;0.39764471;18466.8;7958.8;0,025133531;0,004794213;88,841669;77,240567;4576,0174;21,4733
