Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
402.78;        Sample;1;32.183.482;    0.52588076;20.122.400;62.524.000;   0.037782393;  0.0057280385;11.758.625;63.661.936;65.192.453;21.950.000
402.78;       Sample2;1;40.712.601;    0.60562070;22.784.400;55.964.000;   0.043566327;  0.0046548643;98.855.557;54.743.421;65.265.751;21.950.000
417.42;        Sample;1;33.071.084;    0.53565135;20.042.400;60.604.000;   0.040140998;  0.0053330699;10.304.419;66.634.905;65.340.657;21.963.300
417.42;       Sample2;1;40.999.568;    0.60783981;22.756.400;55.504.000;   0.055118663;  0.0064105092;14.016.156;66.326.148;65.414.632;21.960.000
432.25;        Sample;1;33.537.614;    0.54062710;20.204.400;60.244.000;   0.027626262;  0.0040363680;82.562.895;43.088.648;65.487.257;21.970.000
432.25;       Sample2;1;39.188.756;    0.59340301;22.472.400;57.344.000;   0.055004447;  0.0052129832;10.087.094;76.259.943;65.562.182;21.970.000
447.06;        Sample;1;32.882.978;    0.53361448;19.928.400;60.604.000;   0.030541433;  0.0042389020;83.172.617;50.285.501;65.636.419;21.973.300
447.06;       Sample2;1;40.366.867;    0.60291356;22.534.400;55.824.000;   0.044213596;  0.0049338124;10.513.550;55.319.170;65.709.738;21.980.000
461.78;        Sample;1;32.621.214;    0.53075011;20.076.400;61.544.000;   0.036267249;  0.0063009792;13.548.742;54.374.917;65.783.729;21.973.300
461.78;       Sample2;1;40.335.947;    0.60266964;22.428.400;55.604.000;   0.056426916;  0.0063339889;13.460.195;70.264.163;65.857.021;21.980.000
476.48;        Sample;1;32.994.565;    0.53482492;20.154.400;61.084.000;   0.043403722;  0.0061649319;12.383.690;71.050.760;65.930.716;21.993.300
476.48;       Sample2;1;39.200.891;    0.59350330;22.526.400;57.464.000;   0.039889864;  0.0054060245;12.174.175;49.545.301;66.004.995;21.993.300
491.30;        Sample;1;33.028.991;    0.53519710;20.142.400;60.984.000;   0.047516907;  0.0064781711;12.749.902;78.785.518;66.078.530;21.990.000
491.30;       Sample2;1;39.952.200;    0.59961724;22.734.400;56.904.000;   0.045890745;  0.0072705192;17.016.648;49.579.283;66.152.517;21.996.600
506.05;        Sample;1;33.604.044;    0.54132695;20.076.400;59.744.000;   0.033073351;  0.0061879342;13.511.399;42.905.036;66.226.500;22.003.300
506.05;       Sample2;1;39.489.412;    0.59587315;22.676.400;57.424.000;   0.048120419;  0.0054849588;11.801.427;63.272.177;66.300.998;22.003.300
520.88;        Sample;1;32.780.851;    0.53250112;19.912.400;60.744.000;   0.036843910;  0.0051224437;10.041.074;61.015.960;66.374.312;22.010.000
520.88;       Sample2;1;39.136.138;    0.59296761;22.434.400;57.324.000;   0.038936951;  0.0041028901;84.210.263;52.817.461;66.448.509;22.010.000
535.71;        Sample;1;32.939.280;    0.53422601;20.028.400;60.804.000;   0.034236879;  0.0051136244;10.428.604;54.697.253;66.521.562;22.013.300
535.71;       Sample2;1;39.245.874;    0.59387461;22.544.400;57.444.000;   0.044427996;  0.0050532699;10.785.858;58.936.183;66.596.238;22.026.600
550.43;        Sample;1;33.148.575;    0.53648527;20.142.400;60.764.000;   0.032415388;  0.0044801016;88.894.971;53.024.324;66.669.084;22.026.600
550.43;       Sample2;1;38.123.045;    0.58439870;21.936.000;57.540.000;   0.041351515;  0.0057685512;12.743.956;52.705.737;66.742.773;22.020.000
568.08;        Sample;1;32.587.162;    0.53037490;20.002.000;61.380.000;   0.032099068;  0.0046269245;92.564.629;53.372.573;66.846.899;22.036.600
568.08;       Sample2;1;39.106.957;    0.59272573;22.596.000;57.780.000;   0.043863824;  0.0052491627;11.432.548;57.840.070;66.921.422;22.020.000
582.92;        Sample;1;32.963.571;    0.53448934;20.088.000;60.940.000;   0.033444194;  0.0043973002;84.524.677;56.260.672;66.995.148;22.030.000
582.92;       Sample2;1;39.577.911;    0.59659454;22.504.000;56.860.000;   0.041653673;  0.0047654045;10.193.909;54.015.592;67.069.583;22.040.000
597.73;        Sample;1;33.894.312;    0.54436010;20.140.000;59.420.000;   0.035230672;  0.0059973169;12.843.675;48.772.296;67.143.939;22.043.300
597.73;       Sample2;1;39.263.889;    0.59402312;22.616.000;57.600.000;   0.044354357;  0.0058406019;13.108.776;55.849.422;67.217.389;22.046.600
612.57;        Sample;1;33.201.067;    0.53704847;19.914.000;59.980.000;   0.044431569;  0.0055644970;10.324.728;74.000.000;67.290.471;22.046.600
612.57;       Sample2;1;38.090.314;    0.58411583;22.100.000;58.020.000;   0.030890397;  0.0053288101;12.379.610;34.024.759;67.364.161;22.050.000
627.27;        Sample;1;33.193.053;    0.53696257;19.876.000;59.880.000;   0.036485015;  0.0053304995;10.706.024;57.374.119;67.437.449;22.053.300
627.27;       Sample2;1;38.234.284;    0.58535717;22.260.000;58.220.000;   0.038591606;  0.0064596637;15.033.716;43.671.019;67.510.979;22.053.300
641.86;        Sample;1;33.240.803;    0.53747390;19.878.000;59.800.000;   0.034023596;  0.0056148528;11.774.281;49.917.827;67.583.548;22.060.000
641.86;       Sample2;1;39.434.629;    0.59542530;22.320.000;56.600.000;   0.043568958;  0.0048812238;10.265.527;56.858.087;67.656.638;22.066.600
656.47;        Sample;1;33.138.350;    0.53637541;20.168.000;60.860.000;   0.038883037;  0.0047345990;87.124.835;66.394.356;67.729.615;22.060.000
656.47;       Sample2;1;39.682.709;    0.59744546;22.262.000;56.100.000;   0.042065112;  0.0046842879;98.171.708;54.077.916;67.803.533;22.073.300
671.21;        Sample;1;33.080.490;    0.53575273;19.974.000;60.380.000;   0.039221104;  0.0060195586;12.379.525;61.028.035;67.877.148;22.076.600
671.21;       Sample2;1;39.254.046;    0.59394199;22.312.000;56.840.000;   0.045938722;  0.0051249521;10.743.321;60.628.289;67.952.018;22.070.000
686.05;        Sample;1;33.463.594;    0.53984477;20.038.000;59.880.000;   0.045624705;  0.0073307905;15.372.635;67.490.350;68.025.376;22.080.000
686.05;       Sample2;1;39.053.628;    0.59228296;22.284.000;57.060.000;   0.047667793;  0.0055702591;11.860.594;62.675.438;68.099.326;22.083.300
700.79;        Sample;1;32.923.333;    0.53405296;19.754.000;60.000.000;   0.034599339;  0.0052811919;10.713.002;54.009.746;68.173.071;22.080.000
700.79;       Sample2;1;38.126.512;    0.58442864;22.060.000;57.860.000;   0.052623891;  0.0059884414;12.413.575;72.922.453;68.247.569;22.086.600
715.60;        Sample;1;32.507.443;    0.52949416;19.654.000;60.460.000;   0.038488797;  0.0056396259;11.163.380;62.809.654;68.322.309;22.090.000
715.60;       Sample2;1;38.121.337;    0.58438395;22.118.000;58.020.000;   0.038486636;  0.0058429001;13.273.718;47.103.470;68.395.366;22.090.000
730.32;        Sample;1;33.049.551;    0.53541908;19.876.000;60.140.000;   0.034656285;  0.0040644845;71.383.324;59.249.695;68.470.048;22.106.600
730.32;       Sample2;1;38.641.932;    0.58883212;22.080.000;57.140.000;   0.039972628;  0.0051122828;11.101.067;51.656.762;68.542.672;22.093.300
745.07;        Sample;1;33.611.018;    0.54140029;19.963.600;59.396.000;   0.035772529;  0.0052568268;10.652.304;54.697.253;68.616.589;22.100.000
745.07;       Sample2;1;38.742.789;    0.58968289;22.027.600;56.856.000;   0.040838604;  0.0053348551;11.631.084;51.870.284;68.719.286;22.113.300
762.71;        Sample;1;32.722.163;    0.53185891;19.795.600;60.496.000;   0.038346750;  0.0054317582;10.677.571;62.938.567;68.793.266;22.113.300
762.71;       Sample2;1;37.036.733;    0.57480040;21.657.600;58.476.000;   0.030814543;  0.0054843069;12.607.767;34.759.323;68.868.005;22.116.600
777.62;        Sample;1;33.026.924;    0.53517476;20.019.600;60.616.000;   0.031104373;  0.0046181106;93.955.196;49.494.285;68.942.205;22.110.000
777.62;       Sample2;1;38.133.296;    0.58448721;21.833.600;57.256.000;   0.049579667;  0.0061565929;13.073.396;66.078.104;69.016.481;22.110.000
792.43;        Sample;1;32.060.250;    0.52449165;19.837.600;61.876.000;   0.035950725;  0.0056344844;11.553.446;59.292.318;69.089.787;22.123.300
792.43;       Sample2;1;38.157.750;    0.58469820;22.137.600;58.016.000;   0.047437615;  0.0053699400;11.147.244;65.944.155;69.316.448;22.126.600
822.42;        Sample;1;32.968.313;    0.53454072;20.267.600;61.476.000;   0.040281021;  0.0044338863;74.408.545;71.640.917;69.389.001;22.133.300
822.42;       Sample2;1;38.037.029;    0.58365452;22.105.600;58.116.000;   0.045607209;  0.0043979959;82.844.178;66.191.111;69.462.691;22.133.300
