Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
529.72;1;19.849.363;0.32996894;13.704.000;69.040.000;0.079602449;0.019379093;30.003.509;23.197.096;84.405.608;20.246.600
535.42;1;20.703.270;0.34860358;13.424.000;64.840.000;0.087819785;0.021438673;33.642.079;22.190.562;84.975.149;20.250.000
541.09;1;21.686.587;0.36881811;13.064.000;60.240.000;0.098443995;0.022241163;32.638.369;22.831.188;85.542.341;20.250.000
546.86;1;20.296.790;0.33986405;13.404.000;66.040.000;0.085727494;0.018095921;22.900.241;25.509.544;86.119.179;20.250.000
552.54;1;22.802.419;0.39028888;13.572.000;59.520.000;0.094605922;0.018856509;26.481.374;21.793.287;86.686.731;20.250.000
561.24;1;21.393.597;0.36292741;13.632.000;63.720.000;0.13248071;0.027427913;37.568.184;35.335.981;87.557.772;20.253.300
566.94;1;19.801.563;0.32889427;13.172.000;66.520.000;0.10491223;0.024097901;33.121.785;31.021.215;88.126.940;20.253.300
572.61;1;20.618.622;0.34680275;12.932.000;62.720.000;0.074598548;0.020907039;34.759.323;15.190.024;88.694.626;20.266.600
578.30;1;19.063.981;0.31186302;12.872.000;67.520.000;0.10717241;0.025840847;35.291.269;33.137.671;89.262.700;20.260.000
583.96;1;20.773.131;0.35008237;13.112.000;63.120.000;0.10172308;0.023795951;35.123.841;25.874.190;89.829.336;20.260.000
589.64;1;22.181.122;0.37851764;13.912.000;62.720.000;0.090815383;0.017453313;23.124.378;23.467.783;90.396.848;20.260.000
595.41;1;19.804.502;0.32896045;13.372.000;67.520.000;0.077941064;0.020291436;32.738.196;20.804.858;90.973.674;20.273.300
601.08;1;20.497.573;0.34421011;13.512.000;65.920.000;0.087191439;0.023005067;38.443.397;20.845.295;91.540.934;20.273.300
606.76;1;20.911.345;0.35298837;13.492.000;64.520.000;0.083197005;0.017508290;23.481.236;23.083.373;92.109.017;20.276.600
612.43;1;21.977.186;0.37455410;13.872.000;63.120.000;0.10641291;0.024845716;40.042.083;24.537.833;92.676.466;20.276.600
618.11;1;21.013.350;0.35511642;13.852.000;65.920.000;0.083453182;0.022028620;37.977.833;18.940.350;93.244.216;20.276.600
623.81;1;20.293.200;0.33978583;13.012.000;64.120.000;0.081475176;0.019114348;27.510.763;21.884.866;93.814.230;20.270.000
629.48;1;21.013.767;0.35512510;13.432.000;63.920.000;0.082844671;0.018910680;28.149.974;21.344.295;94.381.054;20.270.000
635.15;1;20.254.083;0.33893221;13.392.000;66.120.000;0.082031398;0.017428997;22.214.268;24.430.352;94.948.513;20.280.000
640.83;1;20.249.554;0.33883324;13.632.000;67.320.000;0.090499359;0.025090026;43.586.574;21.021.292;95.515.876;20.283.300
646.51;1;21.804.223;0.37115269;13.632.000;62.520.000;0.10612567;0.021952995;30.793.027;26.954.152;96.084.291;20.283.300
652.17;1;21.957.226;0.37416346;13.552.000;61.720.000;0.11740773;0.025117964;36.637.628;28.473.441;96.650.120;20.286.600
657.85;1;23.513.514;0.40322581;13.572.000;57.720.000;0.091615383;0.018552217;27.109.913;19.309.120;97.218.189;20.290.000
663.54;1;20.392.902;0.34195163;12.872.000;63.120.000;0.10609837;0.024787025;35.291.269;27.909.629;97.786.797;20.290.000
669.30;1;20.624.635;0.34693100;14.132.000;68.520.000;0.092099542;0.022570137;37.329.260;24.670.460;98.363.023;20.290.000
674.97;1;20.100.118;0.33555077;13.652.000;67.920.000;0.091628765;0.021870439;33.375.062;26.133.262;98.929.767;20.290.000
680.63;1;20.438.223;0.34293141;13.432.000;65.720.000;0.10325641;0.025029758;38.727.115;27.264.784;99.496.264;20.293.300
686.31;1;22.269.549;0.38022065;14.012.000;62.920.000;0.10874044;0.023156436;35.168.766;26.353.867;10.006.386;20.306.600
691.98;1;20.599.506;0.34639467;13.332.000;64.720.000;0.088560672;0.020594712;30.501.078;23.557.321;10.063.111;20.306.600
697.66;1;18.685.843;0.30279198;13.252.000;70.920.000;0.070930758;0.019417799;31.425.769;21.021.292;10.119.894;20.300.000
703.34;1;20.248.815;0.33881708;13.672.000;67.520.000;0.079475035;0.019748748;31.642.743;21.403.394;10.176.726;20.300.000
709.02;1;22.275.449;0.38033395;13.392.000;60.120.000;0.13087010;0.024185127;29.105.977;32.815.272;10.233.546;20.300.000
714.68;1;21.607.143;0.36723164;13.552.000;62.720.000;0.080097215;0.017490539;25.694.562;19.978.936;10.290.192;20.300.000
720.37;1;19.594.756;0.32420459;13.152.000;67.120.000;0.088296814;0.022617716;35.111.851;24.365.636;10.347.058;20.313.300
726.14;1;23.362.358;0.40052198;13.952.000;59.720.000;0.084322863;0.016654348;24.348.349;18.867.962;10.404.724;20.316.600
731.92;1;21.153.359;0.35801465;13.352.000;63.120.000;0.11540355;0.022790400;27.667.195;31.854.934;10.462.520;20.316.600
737.62;1;19.098.639;0.31268264;13.476.000;70.560.000;0.078842334;0.020275865;31.719.162;23.929.722;10.519.554;20.310.000
746.35;1;20.912.815;0.35301912;14.296.000;68.360.000;0.094011531;0.018896648;24.776.899;28.354.894;10.606.847;20.320.000
752.00;1;22.268.961;0.38020936;13.976.000;62.760.000;0.086508620;0.016408895;21.540.659;22.379.502;10.663.373;20.320.000
757.67;1;20.127.350;0.33615137;13.276.000;65.960.000;0.076109360;0.021664417;37.216.295;16.739.490;10.720.041;20.323.300
763.36;1;20.186.298;0.33744774;13.436.000;66.560.000;0.062915438;0.014816169;22.000.000;17.651.599;10.776.964;20.326.600
769.02;1;21.082.964;0.35656072;13.316.000;63.160.000;0.089153640;0.019760132;28.325.179;23.083.373;10.833.475;20.326.600
774.70;1;20.648.715;0.34744409;13.496.000;65.360.000;0.085195114;0.019337730;28.269.381;23.233.370;10.890.312;20.330.000
780.49;1;22.268.961;0.38020936;13.976.000;62.760.000;0.10185220;0.020021291;27.697.615;25.870.121;10.948.220;20.330.000
786.16;1;18.828.475;0.30624149;13.436.000;71.360.000;0.071045069;0.018430584;28.650.342;22.214.268;11.004.928;20.330.000
791.92;1;21.536.010;0.36580437;13.516.000;62.760.000;0.091771902;0.021843140;34.491.799;21.418.143;11.062.544;20.330.000
819.51;1;29.798.416;0.49746744;16.556.000;55.560.000;0.15077800;0.021728779;34.564.966;25.608.387;11.338.362;20.340.000
825.20;1;31.800.595;0.52153791;17.096.000;53.760.000;0.14488038;0.020363795;34.077.311;22.023.910;11.395.281;20.340.000
830.96;1;32.146.119;0.52546046;16.896.000;52.560.000;0.15825466;0.019458599;29.508.250;24.192.213;11.452.887;20.340.000
836.64;1;31.336.858;0.51617029;16.596.000;52.960.000;0.16037061;0.022900523;37.306.695;24.348.349;11.509.754;20.353.300
842.31;1;34.588.138;0.55145021;16.796.000;48.560.000;0.20657365;0.021195134;29.058.924;27.758.356;11.566.398;20.353.300
847.99;1;32.713.057;0.53175911;16.736.000;51.160.000;0.16750297;0.019660985;28.815.201;24.670.460;11.623.252;20.356.600
853.66;1;30.790.251;0.50968676;16.676.000;54.160.000;0.15021941;0.017591889;23.659.871;25.281.572;11.679.978;20.356.600
859.34;1;31.978.445;0.52356501;16.616.000;51.960.000;0.14873883;0.018586040;27.969.909;22.529.513;11.736.741;20.350.000
865.01;1;31.785.989;0.52137067;16.516.000;51.960.000;0.14323296;0.018738376;28.913.665;21.574.839;11.793.476;20.360.000
870.80;1;30.727.136;0.50892693;16.396.000;53.360.000;0.14543449;0.021155966;34.123.614;22.683.173;11.851.301;20.360.000
876.46;1;32.488.756;0.52928723;17.336.000;53.360.000;0.17378263;0.018329651;24.296.415;27.545.178;11.907.946;20.363.300
882.17;1;31.569.371;0.51887653;16.656.000;52.760.000;0.13922964;0.016087626;22.100.250;22.190.562;11.965.062;20.363.300
887.85;1;33.547.881;0.54073540;17.096.000;50.960.000;0.19314399;0.024866130;40.512.506;26.738.500;12.021.781;20.366.600
893.61;1;33.286.052;0.53795740;16.896.000;50.760.000;0.16308320;0.019198331;28.931.862;23.301.231;12.079.415;20.370.000
899.29;1;34.557.878;0.55114559;17.196.000;49.760.000;0.18755895;0.023670426;38.854.655;24.554.987;12.136.231;20.370.000
904.96;1;32.868.792;0.53346014;17.736.000;53.960.000;0.14773799;0.019253984;32.457.259;22.152.581;12.192.950;20.370.000
910.65;1;32.422.874;0.52855623;17.236.000;53.160.000;0.15959197;0.020363263;32.635.144;24.153.021;12.249.822;20.373.300
916.43;1;29.573.216;0.49460766;16.076.000;54.360.000;0.16670903;0.024217632;37.441.885;27.905.857;12.307.585;20.373.300
922.12;1;34.112.076;0.54660941;17.288.000;50.680.000;0.15521298;0.018439442;29.149.343;21.418.143;12.364.527;20.386.600
930.73;1;32.849.250;0.53324738;16.648.000;50.680.000;0.18418258;0.023312926;36.186.651;26.193.611;12.450.557;20.380.000
936.40;1;31.875.000;0.52238806;16.728.000;52.480.000;0.17976655;0.026820655;45.338.493;25.955.427;12.507.321;20.380.000
942.10;1;32.012.336;0.52394935;16.608.000;51.880.000;0.16430207;0.021451076;33.390.828;24.499.194;12.564.359;20.380.000
947.87;1;36.210.705;0.56719985;17.048.000;47.080.000;0.19671113;0.022525463;35.481.648;23.624.252;12.622.027;20.393.300
953.63;1;32.454.617;0.52890872;16.448.000;50.680.000;0.16074661;0.020095635;30.296.778;23.301.231;12.679.635;20.393.300
959.30;1;35.296.108;0.55846096;16.688.000;47.280.000;0.20674784;0.020966363;28.931.862;26.453.534;12.736.341;20.393.300
965.00;1;33.904.221;0.54446293;16.708.000;49.280.000;0.19233119;0.023750781;37.080.283;25.727.315;12.793.308;20.396.600
970.67;1;34.841.521;0.55398480;17.588.000;50.480.000;0.17003371;0.023982230;42.379.240;21.423.057;12.850.053;20.390.000
976.35;1;33.441.200;0.53960756;16.948.000;50.680.000;0.15360310;0.017360266;25.443.436;22.000.000;12.906.829;20.390.000
982.03;1;33.506.289;0.54029635;17.048.000;50.880.000;0.16617580;0.024114021;41.498.256;21.985.641;12.963.651;20.400.000
987.74;1;27.982.155;0.47343694;16.308.000;58.280.000;0.12565027;0.021696094;37.080.283;22.566.860;13.020.694;20.400.000
993.50;1;33.010.920;0.53500181;16.928.000;51.280.000;0.18744963;0.020333924;28.075.087;27.849.218;13.078.325;20.403.300
999.19;1;31.914.734;0.52284083;17.068.000;53.480.000;0.15169146;0.021783099;36.875.323;22.641.369;13.135.225;20.403.300
1004.86;1;35.526.537;0.56069578;16.868.000;47.480.000;0.17304042;0.022322331;36.646.246;20.698.335;13.191.930;20.406.600
1010.53;1;31.406.959;0.51698940;16.608.000;52.880.000;0.17787140;0.024978474;40.356.308;27.051.608;13.248.684;20.406.600
1016.21;1;32.659.906;0.53117572;16.748.000;51.280.000;0.17079725;0.026058506;44.756.652;23.051.430;13.305.452;20.410.000
1021.89;1;36.357.268;0.56856819;16.608.000;45.680.000;0.22977067;0.028614830;45.828.054;25.971.644;13.362.215;20.410.000
1027.57;1;32.097.523;0.52491267;16.588.000;51.680.000;0.19279795;0.021614831;29.203.461;29.678.984;13.419.042;20.410.000
1033.26;1;30.846.037;0.51035641;16.188.000;52.480.000;0.14202494;0.016874935;22.529.513;23.033.157;13.475.932;20.413.300
1039.04;1;33.642.173;0.54172767;16.848.000;50.080.000;0.17083972;0.022670832;37.049.043;22.923.213;13.533.715;20.426.600
1044.70;1;32.968.869;0.53454674;17.368.000;52.680.000;0.14910702;0.018131345;28.595.178;22.190.562;13.590.327;20.426.600
1050.40;1;32.532.517;0.52977154;17.008.000;52.280.000;0.17479876;0.021446461;33.010.365;26.193.611;13.647.365;20.426.600
1056.17;1;33.389.021;0.53905391;16.788.000;50.280.000;0.18962393;0.020925125;29.632.841;27.140.958;13.705.027;20.420.000
1061.83;1;33.826.571;0.54365584;17.008.000;50.280.000;0.15245071;0.017016248;25.030.508;21.418.143;13.761.637;20.420.000
1067.52;1;35.368.249;0.55916306;17.288.000;48.880.000;0.19608566;0.017535563;21.304.805;26.421.682;13.818.491;20.420.000
1073.20;1;32.092.173;0.52485228;17.548.000;54.680.000;0.16185210;0.020155015;32.036.164;25.706.849;13.875.324;20.433.300
1078.87;1;32.762.050;0.53229558;17.128.000;52.280.000;0.17247216;0.022807882;37.399.690;25.043.121;13.931.993;20.436.600
1084.53;1;35.330.033;0.55879141;17.128.000;48.480.000;0.17379659;0.018777761;28.149.974;22.478.059;13.988.567;20.436.600
1090.17;1;35.461.409;0.56006643;16.908.000;47.680.000;0.22051546;0.019401629;22.529.513;28.960.954;14.045.016;20.430.000
1095.86;1;30.694.645;0.50853485;16.968.000;55.280.000;0.13197727;0.017795040;28.149.974;21.928.112;14.101.897;20.430.000
1101.60;1;32.113.885;0.52509724;16.468.000;51.280.000;0.13892832;0.023442355;40.985.235;18.145.610;14.159.257;20.440.000
1107.26;1;31.985.294;0.52364273;17.400.000;54.400.000;0.21103483;0.025835301;40.010.525;33.642.079;14.215.968;20.440.000
1115.97;1;34.484.127;0.55040143;17.380.000;50.400.000;0.13212984;0.016135588;26.257.831;17.746.757;14.302.999;20.443.300
1121.64;1;33.735.409;0.54270463;17.340.000;51.400.000;0.20638136;0.020327489;26.161.442;30.473.457;14.359.731;20.446.600
1127.33;1;32.720.307;0.53183857;17.080.000;52.200.000;0.16636642;0.021039824;33.403.435;24.499.194;14.416.615;20.450.000
1133.01;1;31.858.736;0.52220249;17.140.000;53.800.000;0.16224206;0.025642594;45.540.034;23.373.399;14.473.384;20.450.000
1138.68;1;30.981.818;0.51197870;17.040.000;55.000.000;0.13904423;0.020903702;35.824.132;21.807.773;14.530.138;20.450.000
1144.36;1;33.122.530;0.53620532;16.760.000;50.600.000;0.18967546;0.023454748;36.256.397;26.828.893;14.586.906;20.450.000
1150.03;1;32.023.346;0.52407407;16.460.000;51.400.000;0.14038213;0.020392228;33.526.109;19.952.575;14.643.653;20.453.300
1155.71;1;36.176.471;0.56687898;17.220.000;47.600.000;0.13786307;0.016856923;27.724.206;16.441.283;14.700.440;20.453.300
1161.38;1;31.553.030;0.51868733;16.660.000;52.800.000;0.14870313;0.023057580;39.414.131;21.521.103;14.757.093;20.466.600
1167.04;1;30.830.325;0.51016799;17.080.000;55.400.000;0.11925590;0.017148355;28.654.016;19.309.120;14.813.688;20.460.000
1172.73;1;32.424.242;0.52857143;17.120.000;52.800.000;0.13389044;0.019898334;34.507.055;19.029.064;14.870.582;20.460.000
1178.49;1;32.857.143;0.53333333;17.020.000;51.800.000;0.15875382;0.017412588;24.326.723;23.907.717;14.928.243;20.460.000
1184.17;1;29.057.971;0.48794063;16.040.000;55.200.000;0.14770779;0.021872845;33.829.293;25.530.168;14.985.042;20.460.000
