Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
881.28;Sample;1;3,283668;0.53311041;20081.6;6115.6;0,034553374;0,004083617;72,512794;60,445713;6997,9031;22,16
881.28;Sample2;1;3,7099733;0.57536914;21679.6;5843.6;0,04701628;0,005265471;105,36253;68,393598;7005,3013;22,1566
896.06;Sample;1;3,1794626;0.52146958;19927.6;6267.6;0,028845207;0,004612466;95,651781;48,251534;7012,5342;22,1633
896.06;Sample2;1;3,7983826;0.58319289;21793.6;5737.6;0,038749001;0,004700836;98,733027;52,443453;7019,9031;22,1633
910.67;Sample;1;3,2869751;0.53347059;20259.6;6163.6;0,026309324;0,004269945;90,764009;40,882373;7027,3368;22,1666
910.67;Sample2;1;3,817585;0.58485424;21865.6;5727.6;0,046129247;0,007000357;157,18578;55,628467;7034,7063;22,17
925.49;Sample;1;3,3383916;0.53899966;19975.6;5983.6;0,04071033;0,00594606;120,13589;63,476477;7042,0888;22,1666
925.49;Sample2;1;3,8447534;0.58718229;21456.8;5580.8;0,03858407;0,006183833;137,59131;43,081318;7049,5535;22,1733
943.46;Sample;1;3,2791669;0.53261931;20090.8;6126.8;0,03208644;0,005047115;105,24258;50,635956;7059,9462;22,18
943.46;Sample2;1;3,8650614;0.5889055;21894.8;5664.8;0,041292769;0,006046476;134,802;49,460245;7067,3116;22,1866
958.07;Sample;1;3,3339108;0.53852304;20012.8;6002.8;0,039077453;0,005428634;107,4724;62,540934;7074,746;22,18
958.07;Sample2;1;3,864517;0.58885949;21860.8;5656.8;0,042940257;0,005809594;126,9032;53,594972;7082,0922;22,1933
972.9;Sample;1;3,2934048;0.53416925;19894.8;6040.8;0,030623262;0,004689687;95,933091;48,026309;7089,423;22,1933
972.9;Sample2;1;3,8349968;0.58634926;21670.8;5650.8;0,045540642;0,005881123;125,63188;58,563506;7096,843;22,1966
987.64;Sample;1;3,2529291;0.52973587;19656.8;6042.8;0,030912287;0,004110058;77,329098;52,272565;7104,1278;22,2
987.64;Sample2;1;3,7590378;0.57974698;21752.8;5786.8;0,054057143;0,005712359;111,71769;77,729626;7111,646;22,19
1002.46;Sample;1;3,270017;0.53161779;19962.8;6104.8;0,04000646;0,006122099;125,50446;64,072328;7119,0435;22,2033
1002.46;Sample2;1;3,8431928;0.58704927;21724.8;5652.8;0,050978205;0,005850329;120,14027;68,154623;7126,4437;22,2066
1017.31;Sample;1;3,3293916;0.53804132;20158.8;6054.8;0,02560137;0,004446517;95,906753;36,577243;7133,8179;22,2066
1017.31;Sample2;1;3,8388447;0.5866782;21638.8;5636.8;0,035505039;0,004654525;99,73755;45,198975;7141,1699;22,21
1032;Sample;1;3,3652874;0.54184002;20234.8;6012.8;0,04235176;0,006505394;135,79784;64,013157;7148,5897;22,21
1032;Sample2;1;3,8284439;0.58578787;21610.8;5644.8;0,040738604;0,004486939;89,87828;55,288716;7156,0396;22,21
1046.82;Sample;1;3,2968349;0.53454111;20040.8;6078.8;0,03007689;0,003976126;76,49699;50,369163;7163,3698;22,22
1046.82;Sample2;1;3,7880924;0.58229712;21708.8;5730.8;0,034929834;0,00469316;101,5418;45,540034;7170,7609;22,2133
1061.63;Sample;1;3,2630009;0.53084692;20128.8;6168.8;0,028213145;0,00460696;97,458223;44,190973;7178,0969;22,22
1061.63;Sample2;1;3,8236081;0.58537262;21728.8;5682.8;0,049178397;0,006552567;141,62664;63,010442;7185,4879;22,22
1076.34;Sample;1;3,2601167;0.5305293;19882.8;6098.8;0,033655276;0,004967736;99,87255;55,004306;7192,914;22,2333
1076.34;Sample2;1;3,8552222;0.58807241;21792.8;5652.8;0,038359173;0,004011774;79,158735;52,363105;7200,2451;22,2366
1091.06;Sample;1;3,3567812;0.54094551;20156.8;6004.8;0,03756436;0,005134457;101,79856;59,964902;7207,643;22,22
1091.06;Sample2;1;3,8826729;0.59038829;21986.8;5662.8;0,040788004;0,005063413;108,52019;52,513657;7215,04;22,23
1105.88;Sample;1;3,2938144;0.53421369;19936.8;6052.8;0,031220709;0,003809713;69,105564;53,398206;7222,4824;22,24
1105.88;Sample2;1;3,7545979;0.57935454;21884.8;5828.8;0,036152797;0,004959226;108,77306;48,070124;7229,9094;22,2433
1120.73;Sample;1;3,2661753;0.53119601;20030.8;6132.8;0,040304718;0,005453996;105,84895;68,38898;7237,2632;22,2466
1120.73;Sample2;1;3,7396507;0.57802797;21752.8;5816.8;0,031591993;0,005588552;128,69875;35,075858;7247,6217;22,25
1138.4;Sample;1;3,2968405;0.53454171;20284.8;6152.8;0,033887169;0,004775678;96,175279;56,112669;7254,9571;22,25
1138.4;Sample2;1;3,7799819;0.58158837;21722.8;5746.8;0,044400358;0,004637055;90,205613;63,143946;7262,3824;22,25
1153.22;Sample;1;3,2902338;0.53382494;20092.8;6106.8;0,034138304;0,005422003;113,48638;53,151224;7269,7988;22,25
1153.22;Sample2;1;3,8973174;0.59161315;22256.8;5710.8;0,045673883;0,005504332;118,30736;59,646326;7277,1959;22,2666
1168.05;Sample;1;3,2870014;0.53347344;20138.8;6126.8;0,044985037;0,005915108;113,83737;76,363397;7284,5704;22,2666
1168.05;Sample2;1;3,9341722;0.59466352;22136.8;5626.8;0,048893067;0,005481166;114,28865;63,609003;7291,974;22,26
1182.77;Sample;1;3,2703002;0.53164885;20088.8;6142.8;0,031827871;0,00540455;115,51259;48,234078;7299,4176;22,26
1182.77;Sample2;1;3,7526794;0.57918475;22128.8;5896.8;0,035631176;0,004426711;95,03462;49,934694;7306,6803;22,2733
1197.43;Sample;1;3,3326903;0.53839304;20038.8;6012.8;0,03355643;0,004924555;99,973681;52,587771;7314,0259;22,2733
1197.43;Sample2;1;3,71071;0.57543555;22118.8;5960.8;0,050826779;0,005927015;123,48876;74,556937;7321,2807;22,27
1212.15;Sample;1;3,2896556;0.53376211;20174.8;6132.8;0,032341944;0,003923588;71,629162;56,225111;7328,5874;22,2766
1212.15;Sample2;1;3,7675087;0.58049369;22012.8;5842.8;0,043020913;0,00522105;110,59266;59,913973;7336,0093;22,28
1226.84;Sample;1;3,3257128;0.53764845;20016.8;6018.8;0,032320289;0,004319281;83,809307;52,785564;7343,3608;22,27
1226.84;Sample2;1;3,805897;0.5838446;22046.8;5792.8;0,042591752;0,005485469;119,03029;56,783986;7350,8024;22,28
