Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
505.52;Sample2;1;3,441078;0.54965889;120071.6;34893.6;0,01320046;0,00220645;280,1725;106,24698;8593,1594;22,5566
520.34;Sample;1;3,4543756;0.55100328;116825.6;33819.6;0,016645067;0,00178094;176,86391;154,70923;8600,4967;22,55
520.34;Sample2;1;3,481032;0.55367424;119655.6;34373.6;0,01565737;0,002407775;297,80212;128,78378;8607,8193;22,56
534.97;Sample;1;3,4855588;0.55412467;117301.6;33653.6;0,014487231;0,00188568;215,01726;125,53884;8615,1879;22,5666
534.97;Sample2;1;3,4599509;0.55156457;119567.6;34557.6;0,014654123;0,002278961;282,56383;121,46128;8622,4506;22,57
549.58;Sample;1;3,4637071;0.55194193;116815.6;33725.6;0,013110317;0,002280999;284,29007;97,768793;8629,8926;22,57
549.58;Sample2;1;3,5179823;0.55732451;121685.6;34589.6;0,014514841;0,001921667;229,57168;126,91978;8637,3435;22,57
567.46;Sample;1;3,4801031;0.5535817;117187.6;33673.6;0,013629175;0,001753548;198,57333;118,89314;8647,777;22,5733
567.46;Sample2;1;3,4775167;0.55332384;119715.6;34425.6;0,015001068;0,00219347;267,14672;127,08886;8655,1748;22,57
582.37;Sample;1;3,4633616;0.55190725;117309.6;33871.6;0,016777101;0,002115112;236,92593;149,13858;8662,5035;22,5866
582.37;Sample2;1;3,4838642;0.55395616;119613.6;34333.6;0,016005071;0,002698035;341,68745;123,53052;8669,9014;22,58
597.09;Sample;1;3,4794082;0.55351245;116927.6;33605.6;0,013684698;0,002185435;266,95121;107,62508;8677,2293;22,5933
597.09;Sample2;1;3,4648372;0.55205533;118835.6;34297.6;0,016337629;0,00223002;262,61639;142,86099;8684,6291;22,5966
611.81;Sample;1;3,4707503;0.5526478;116879.6;33675.6;0,019372786;0,002266173;242,3095;174,5219;8692,0492;22,58
611.81;Sample2;1;3,436949;0.5492398;118669.6;34527.6;0,019867227;0,002736066;322,3976;176,16918;8699,3772;22,59
626.53;Sample;1;3,4852931;0.55409826;117069.6;33589.6;0,014649371;0,002304476;280,67438;115,9637;8706,7752;22,6
626.53;Sample2;1;3,4649984;0.55207151;118695.6;34255.6;0,015856101;0,002908314;372,32555;114,13289;8714,1264;22,6033
641.35;Sample;1;3,4346264;0.54900373;116267.6;33851.6;0,020558657;0,002217843;219,55889;192,27776;8721,5995;22,6066
641.35;Sample2;1;3,4738805;0.55296079;118103.6;33997.6;0,017744314;0,003001513;375,70957;135,86681;8729,0422;22,6066
656.15;Sample;1;3,4259283;0.5481174;116507.6;34007.6;0,014663432;0,002366227;288,90319;118,64055;8736,4685;22,61
656.15;Sample2;1;3,4709596;0.55266874;118087.6;34021.6;0,014987197;0,002368454;291,35581;120,5566;8743,8212;22,61
670.98;Sample;1;3,4684085;0.55241335;116925.6;33711.6;0,017228665;0,002417066;283,19233;146,20174;8751,1018;22,61
670.98;Sample2;1;3,4763039;0.55320281;117949.6;33929.6;0,021249683;0,003113776;373,89444;177,33465;8758,453;22,6133
685.67;Sample;1;3,4506415;0.55062658;116609.6;33793.6;0,015892617;0,002503869;303,90303;128,32853;8765,8266;22,62
685.67;Sample2;1;3,4202843;0.54754041;117047.6;34221.6;0,014691873;0,002554372;319,33451;113,54202;8773,1333;22,6266
700.28;Sample;1;3,4771741;0.55328965;117297.6;33733.6;0,011524408;0,001791457;217,8865;92,593054;8780,5561;22,62
700.28;Sample2;1;3,4356984;0.54911272;116853.6;34011.6;0,01714042;0,002059414;222,65574;156,8177;8787,9826;22,62
715.09;Sample;1;3,4617091;0.55174128;116713.6;33715.6;0,018181856;0,00275346;330,5829;149,12729;8795,3287;22,6366
715.09;Sample2;1;3,4422366;0.54977635;116621.6;33879.6;0,016951497;0,003118068;392,79726;121,71667;8802,5844;22,63
729.82;Sample;1;3,4557569;0.55114248;116381.6;33677.6;0,015259215;0,00228877;273,14773;125,96073;8810,0098;22,63
729.82;Sample2;1;3,4407759;0.54962826;116427.6;33837.6;0,019524071;0,002861505;338,85846;164,82463;8817,4313;22,64
744.63;Sample;1;3,4482554;0.55038553;116220;33704;0,01629859;0,002860699;355,57396;121,43008;8824,8066;22,63
744.63;Sample2;1;3,4283364;0.54836312;116680;34034;0,016073049;0,002506563;303,47323;132,75621;8835,236;22,6433
762.39;Sample;1;3,4831817;0.55388826;116394;33416;0,01662828;0,00234778;274,65385;138,67341;8842,591;22,65
762.39;Sample2;1;3,4438525;0.54994006;116354;33786;0,016278543;0,002157661;245,23887;142,9457;8849,8687;22,6466
777.01;Sample;1;3,4595334;0.55152259;116268;33608;0,019322894;0,002623488;301,5036;166,25662;8857,2435;22,65
777.01;Sample2;1;3,4431548;0.54986938;115690;33600;0,012369614;0,001883672;224,5046;101,58326;8864,4989;22,6533
791.62;Sample;1;3,4438528;0.54994009;116416;33804;0,019089478;0,002482727;279,79842;168,84749;8871,867;22,6666
791.62;Sample2;1;3,4604795;0.55161771;116632;33704;0,021764027;0,002593389;279,52742;195,98066;8895,5648;22,66
822.77;Sample;1;3,5142943;0.55696287;116288;33090;0,015965271;0,00200692;223,71787;136,18177;8902,8697;22,6733
822.77;Sample2;1;3,4220259;0.54771862;116212;33960;0,015877548;0,002293981;269,56651;136,46361;8910,3366;22,6766
837.51;Sample;1;3,4659905;0.55217101;116180;33520;0,01595898;0,002016809;224,08457;140,14729;8917,7629;22,67
837.51;Sample2;1;3,3993393;0.54538629;115258;33906;0,016265039;0,002653132;321,46081;131,82045;8925,1087;22,67
852.23;Sample;1;3,4322424;0.54876115;116202;33856;0,017872846;0,002570614;301,6652;152,82877;8932,393;22,68
852.23;Sample2;1;3,4150193;0.54700085;115052;33690;0,017364117;0,002842282;344,05752;138,54203;8939,7481;22,68
866.93;Sample;1;3,4723483;0.55280764;116282;33488;0,010161434;0,002013683;255,91898;64,589391;8947,0439;22,6866
866.93;Sample2;1;3,4253731;0.54806071;114750;33500;0,016208067;0,003113674;389,4317;110,45933;8954,3501;22,6866
881.54;Sample;1;3,4443523;0.54999067;116240;33748;0,015703405;0,00230046;271,96594;132,0574;8961,6724;22,69
881.54;Sample2;1;3,3909699;0.54451976;114608;33798;0,015578506;0,002544882;306,74385;126,20034;8969,1214;22,69
896.27;Sample;1;3,480153;0.55358668;116432;33456;0,017076204;0,002453759;288,93416;141,61772;8976,5874;22,69
896.27;Sample2;1;3,4142466;0.54692155;114746;33608;0,017057129;0,00280226;338,64715;135,47266;8983,9923;22,6933
911.2;Sample;1;3,4885446;0.55442127;115722;33172;0,017387495;0,002616969;311,03867;139,23399;8991,3422;22,6933
911.2;Sample2;1;3,3841811;0.54381447;113898;33656;0,015703907;0,003133169;392,43665;104,61357;8998,8532;22,7066
926;Sample;1;3,4760768;0.55318015;116532;33524;0,019381713;0,002693238;313,44738;163,73277;9006,2573;22,7066
926;Sample2;1;3,4724964;0.55282245;115524.4;33268.4;0,014879839;0,001998456;227,34856;126,63333;9013,7499;22,7
943.97;Sample;1;3,4826566;0.553836;116266.4;33384.4;0,015653521;0,002083887;237,85179;133,6098;9024,206;22,7
943.97;Sample2;1;3,4005818;0.54551464;113628.4;33414.4;0,015169744;0,002646822;321,65722;115,20234;9031,6563;22,7166
958.83;Sample;1;3,4907159;0.55463671;116556.4;33390.4;0,014169947;0,001958609;227,69278;118,8152;9039,0763;22,7
958.83;Sample2;1;3,388357;0.54424856;112962.4;33338.4;0,018293921;0,003381662;413,95754;132,18488;9046,449;22,7166
973.63;Sample;1;3,4533049;0.55089534;116108.4;33622.4;0,014462448;0,002317956;281,47394;114,8216;9053,8753;22,71
973.63;Sample2;1;3,400526;0.54550888;112742.4;33154.4;0,019925527;0,003537347;428,23112;147,92601;9061,2957;22,71
988.43;Sample;1;3,4499294;0.55055466;116236.4;33692.4;0,01500311;0,002527984;311,30929;115,43875;9068,7473;22,7233
988.43;Sample2;1;3,3883559;0.54424845;112020.4;33060.4;0,020405049;0,00335657;396,21658;161,13479;9076,0478;22,72
1003.25;Sample;1;3,4720294;0.55277574;115814.4;33356.4;0,016365327;0,002204202;251,68067;139,51721;9083,4981;22,7266
1003.25;Sample2;1;3,3726695;0.5426135;111724.4;33126.4;0,014676964;0,002389189;280,4639;117,75443;9090,7312;22,73
1017.86;Sample;1;3,4475037;0.55030954;115844.4;33602.4;0,016774263;0,001982254;210,62064;151,65334;9098,1739;22,73
1017.86;Sample2;1;3,3793149;0.54330757;111640.4;33036.4;0,016079703;0,002793751;333,40697;122,37905;9105,6487;22,7333
1032.78;Sample;1;3,4614174;0.55171197;116090.4;33538.4;0,017813583;0,002277648;254,25888;156,18882;9113,0465;22,7333
1032.78;Sample2;1;3,3839832;0.54379387;111334.4;32900.4;0,014384525;0,002681285;324,10525;101,90914;9120,4965;22,7466
1047.63;Sample;1;3,4599647;0.55156596;116152.4;33570.4;0,018979108;0,002261997;242,81637;170,24812;9127,8299;22,7466
1047.63;Sample2;1;3,3083455;0.53578468;111426.4;33680.4;0,01801097;0,003387534;411,83645;134,62697;9135,226;22,7333
1062.43;Sample;1;3,4757259;0.55314511;117126.4;33698.4;0,020234035;0,002267332;235,94112;184,0572;9142,5781;22,74
1062.43;Sample2;1;3,39244;0.54467221;111178.4;32772.4;0,023060661;0,0027238;274,76152;207,53135;9149,9474;22,74
1077.16;Sample;1;3,4369663;0.54924156;115758.4;33680.4;0,017705076;0,002162308;233,98425;159,58565;9157,285;22,7533
1077.16;Sample2;1;3,3500324;0.5402333;109748.4;32760.4;0,020559989;0,003198931;363,634;169,24041;9164,6766;22,7566
