     Reference;        468.00;     314448.80;42.136.076;32.291.721;20.236.600
     Reference;        469.00;     322756.80;69.727.597;32.302.855;20.236.600
     Reference;        470.00;     324948.80;82.817.497;32.314.796;20.236.600
     Reference;        471.00;     324876.80;65.205.862;32.326.368;20.236.600
     Reference;        472.00;     324740.80;57.345.115;32.337.918;20.236.600
     Reference;        473.00;     321300.80;64.863.069;32.349.478;20.236.600
     Reference;        474.00;     317988.80;76.492.440;32.361.029;20.236.600
     Reference;        475.00;     315060.80;63.047.918;32.372.613;20.230.000
     Reference;        476.00;     315264.80;56.073.127;32.383.865;20.230.000
     Reference;        477.00;     316412.80;66.281.554;32.395.721;20.230.000
     Reference;        478.00;     319412.80;35.013.648;32.407.466;20.230.000
     Reference;        479.00;     322812.80;39.687.670;32.418.929;20.230.000
     Reference;        480.00;     327460.80;67.413.945;32.430.348;20.240.000
     Reference;        481.00;     332688.80;51.950.233;32.441.848;20.240.000
     Reference;        482.00;     336248.80;51.637.884;32.453.575;20.240.000
     Reference;        483.00;     337680.80;69.612.387;32.465.108;20.240.000
     Reference;        484.00;     335360.80;64.701.846;32.476.773;20.240.000
     Reference;        485.00;     334112.80;35.378.587;32.488.265;20.240.000
     Reference;        486.00;     332096.80;44.949.156;32.499.985;20.240.000
     Reference;        487.00;     329180.80;42.811.421;32.511.544;20.240.000
     Reference;        488.00;     326768.80;71.074.171;32.523.095;20.240.000
     Reference;        489.00;     325792.80;65.562.184;32.534.660;20.240.000
     Reference;        490.00;     323728.80;68.490.908;32.546.186;20.243.300
