     Reference;        522.00;     389085.60;89.491.303;33.657.251;20.283.300
     Reference;        523.00;     395373.60;74.333.662;33.668.371;20.283.300
     Reference;        524.00;     397957.60;61.446.417;33.680.311;20.283.300
     Reference;        525.00;     401385.60;54.190.446;33.691.860;20.283.300
     Reference;        526.00;     401849.60;90.127.810;33.703.352;20.283.300
     Reference;        527.00;     406221.60;33.593.915;33.715.065;20.283.300
     Reference;        528.00;     407441.60;48.113.939;33.726.515;20.283.300
     Reference;        529.00;     407509.60;89.323.880;33.738.079;20.283.300
     Reference;        530.00;     405185.60;78.261.556;33.749.697;20.283.300
     Reference;        531.00;     406213.60;43.173.860;33.761.206;20.283.300
     Reference;        532.00;     404429.60;55.496.947;33.772.882;20.286.600
     Reference;        533.00;     403737.60;66.767.391;33.784.526;20.286.600
     Reference;        534.00;     402173.60;81.894.132;33.796.108;20.286.600
     Reference;        535.00;     403781.60;12.436.655;33.807.651;20.283.300
     Reference;        536.00;     399365.60;70.778.402;33.819.222;20.286.600
     Reference;        537.00;     395813.60;89.304.373;33.830.680;20.283.300
     Reference;        538.00;     390329.60;52.361.139;33.842.272;20.286.600
     Reference;        539.00;     384501.60;60.510.568;33.853.852;20.290.000
     Reference;        540.00;     379133.60;86.907.256;33.865.383;20.290.000
     Reference;        541.00;     377109.60;76.019.296;33.876.961;20.290.000
     Reference;        542.00;     369469.60;85.371.346;33.888.440;20.290.000
     Reference;        543.00;     365109.60;78.082.008;33.899.974;20.290.000
     Reference;        544.00;     358413.60;69.347.306;33.911.584;20.290.000
     Reference;        545.00;     349513.60;65.924.401;33.923.318;20.290.000
     Reference;        546.00;     344393.60;85.152.308;33.935.796;20.290.000
     Reference;        547.00;     339357.60;80.401.327;33.947.297;20.290.000
     Reference;        548.00;     333613.60;52.253.910;33.958.858;20.290.000
     Reference;        549.00;     328529.60;79.531.964;33.970.358;20.290.000
     Reference;        550.00;     323761.60;79.015.723;33.981.548;20.290.000
     Reference;        551.00;     320237.60;90.917.398;33.992.900;20.290.000
     Reference;        552.00;     314681.60;66.195.132;34.003.853;20.290.000
     Reference;        553.00;     310877.60;59.726.934;34.015.513;20.293.300
     Reference;        554.00;     306105.60;94.864.020;34.027.123;20.293.300
     Reference;        555.00;     303349.60;55.384.715;34.038.664;20.293.300
     Reference;        556.00;     300813.60;81.078.179;34.050.298;20.293.300
     Reference;        557.00;     298521.60;12.370.402;34.061.845;20.293.300
     Reference;        558.00;     296461.60;61.048.760;34.073.542;20.293.300
     Reference;        559.00;     294445.60;71.855.287;34.085.062;20.293.300
     Reference;        560.00;     291413.60;43.457.054;34.096.546;20.293.300
     Reference;        561.00;     290065.60;56.838.797;34.108.262;20.293.300
     Reference;        562.00;     286989.60;31.134.118;34.119.890;20.293.300
     Reference;        563.00;     284949.60;41.800.585;34.131.458;20.306.600
     Reference;        564.00;     282773.60;61.064.483;34.143.013;20.306.600
     Reference;        565.00;     283089.60;55.010.302;34.154.709;20.306.600
     Reference;        566.00;     280957.60;67.393.504;34.166.245;20.306.600
     Reference;        567.00;     279497.60;54.228.488;34.177.810;20.306.600
     Reference;        568.00;     277509.60;54.046.071;34.189.281;20.306.600
     Reference;        569.00;     277085.60;63.493.692;34.200.526;20.300.000
     Reference;        570.00;     274101.60;34.092.945;34.212.462;20.300.000
     Reference;        571.00;     274365.60;65.141.078;34.224.030;20.300.000
     Reference;        572.00;     271701.60;48.691.501;34.235.706;20.300.000
     Reference;        573.00;     270737.60;48.536.996;34.247.139;20.300.000
     Reference;        574.00;     268809.60;57.568.510;34.258.654;20.300.000
     Reference;        575.00;     268533.60;49.511.211;34.270.354;20.300.000
     Reference;        576.00;     266021.60;56.057.272;34.281.942;20.300.000
     Reference;        577.00;     265717.60;38.385.414;34.293.494;20.300.000
     Reference;        578.00;     263485.60;51.970.761;34.304.978;20.300.000
     Reference;        579.00;     261165.60;37.506.503;34.316.561;20.300.000
     Reference;        580.00;     258737.60;53.968.880;34.328.086;20.300.000
     Reference;        581.00;     257509.60;74.412.066;34.339.738;20.300.000
     Reference;        582.00;     254889.60;41.629.050;34.350.846;20.300.000
     Reference;        583.00;     253533.60;64.546.142;34.362.811;20.300.000
     Reference;        584.00;     250765.60;35.525.015;34.374.427;20.313.300
     Reference;        585.00;     248109.60;56.462.377;34.385.915;20.313.300
     Reference;        586.00;     244841.60;51.831.522;34.397.525;20.313.300
     Reference;        587.00;     243609.60;45.832.545;34.409.118;20.313.300
     Reference;        588.00;     241045.60;53.667.122;34.420.320;20.313.300
     Reference;        589.00;     237885.60;56.283.252;34.432.266;20.313.300
     Reference;        590.00;     234941.60;45.133.087;34.443.832;20.313.300
     Reference;        591.00;     232537.60;58.032.328;34.455.368;20.313.300
     Reference;        592.00;     229369.60;67.287.773;34.466.923;20.316.600
     Reference;        593.00;     226809.60;51.715.461;34.478.451;20.316.600
     Reference;        594.00;     223177.60;46.152.597;34.490.031;20.316.600
     Reference;        595.00;     221189.60;57.996.935;34.501.608;20.316.600
     Reference;        596.00;     218265.60;52.619.219;34.513.173;20.316.600
     Reference;        597.00;     215053.60;54.580.257;34.524.764;20.316.600
     Reference;        598.00;     211301.60;36.495.601;34.536.187;20.316.600
     Reference;        599.00;     209109.60;36.144.156;34.547.857;20.310.000
     Reference;        600.00;     205857.60;61.260.246;34.559.335;20.310.000
     Reference;        601.00;     202745.60;26.420.194;34.570.873;20.310.000
     Reference;        602.00;     198933.60;56.642.191;34.582.446;20.310.000
     Reference;        603.00;     196777.60;39.172.780;34.594.112;20.310.000
     Reference;        604.00;     193677.60;50.967.702;34.605.733;20.310.000
     Reference;        605.00;     190981.60;54.523.553;34.617.210;20.310.000
     Reference;        606.00;     188353.60;46.388.504;34.628.713;20.310.000
     Reference;        607.00;     186325.60;40.170.525;34.640.392;20.310.000
     Reference;        608.00;     182489.60;62.850.793;34.651.803;20.320.000
     Reference;        609.00;     179645.60;43.526.544;34.663.528;20.320.000
     Reference;        610.00;     176513.60;41.458.735;34.674.962;20.320.000
     Reference;        611.00;     175009.60;47.557.217;34.686.688;20.320.000
     Reference;        612.00;     172249.60;51.687.953;34.698.144;20.320.000
     Reference;        613.00;     168657.60;49.916.553;34.709.769;20.320.000
     Reference;        614.00;     166673.60;35.171.706;34.721.270;20.320.000
     Reference;        615.00;     163701.60;48.114.863;34.732.743;20.320.000
     Reference;        616.00;     160285.60;27.204.248;34.744.371;20.320.000
     Reference;        617.00;     158849.60;26.066.581;34.755.860;20.320.000
     Reference;        618.00;     155981.60;59.128.636;34.767.451;20.323.300
     Reference;        619.00;     153357.60;43.516.740;34.778.940;20.323.300
     Reference;        620.00;     150853.60;28.368.684;34.790.658;20.323.300
     Reference;        621.00;     149309.60;36.889.023;34.802.160;20.323.300
     Reference;        622.00;     145925.60;39.424.527;34.813.570;20.323.300
